name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Vanille Havane Les Indemodables (unisex) ~ 2020,https://www.fragrantica.com/perfume/Les-Indemodables/Vanille-Havane-63395.html,63,29,2020,61,92,34,0.20485175202156336,0.6847826086956522,61.0,485.0,0.6153846153846154
Shalimar Souffle Intense Guerlain (female) ~ 2017,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Souffle-Intense-46110.html,68,46,2017,62,114,22,0.1725067385444744,0.5964912280701754,62.0,484.0,0.5539568345323741
Ange ou Demon Givenchy (female) ~ 2006,https://www.fragrantica.com/perfume/Givenchy/Ange-ou-Demon-701.html,79,69,2006,63,148,10,0.14016172506738545,0.5337837837837838,63.0,483.0,0.5086705202312138
Prada Candy Prada (female) ~ 2011,https://www.fragrantica.com/perfume/Prada/Prada-Candy-12426.html,99,110,2011,64,209,-11,0.08355795148247978,0.47368421052631576,64.0,482.0,0.46153846153846156
Italica (2021) Xerjoff (unisex) ~ 2021,https://www.fragrantica.com/perfume/Xerjoff/Italica-2021-65383.html,67,47,2021,65,114,20,0.16711590296495957,0.5877192982456141,65.0,481.0,0.5467625899280576
Intense Cafe Montale (unisex) ~ 2013,https://www.fragrantica.com/perfume/Montale/Intense-Cafe-18021.html,72,57,2013,66,129,15,0.15363881401617252,0.5581395348837209,66.0,480.0,0.525974025974026
Hypnotic Poison Eau de Parfum Dior (female) ~ 2014,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-Eau-de-Parfum-23098.html,63,39,2014,67,102,24,0.1778975741239892,0.6176470588235294,67.0,479.0,0.5669291338582677
Shalimar Eau de Toilette Guerlain (female) ~ 1925,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Eau-de-Toilette-33934.html,73,60,1925,68,133,13,0.14824797843665768,0.5488721804511278,68.0,478.0,0.5189873417721519
Girl of Now Elie Saab (female) ~ 2017,https://www.fragrantica.com/perfume/Elie-Saab/Girl-of-Now-45686.html,66,49,2017,69,115,17,0.15902964959568733,0.5739130434782609,69.0,477.0,0.5357142857142857
Valentino Uomo Intense Valentino (male) ~ 2016,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Intense-38254.html,70,58,2016,70,128,12,0.14555256064690028,0.546875,70.0,476.0,0.5163398692810458
Eau des Baux L'Occitane en Provence (male) ~ 2006,https://www.fragrantica.com/perfume/L-Occitane-en-Provence/Eau-des-Baux-2034.html,60,45,2006,71,105,15,0.15363881401617252,0.5714285714285714,71.0,475.0,0.5307692307692308
This is Her Zadig & Voltaire (female) ~ 2016,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Her-39358.html,76,77,2016,72,153,-1,0.1105121293800539,0.49673202614379086,72.0,474.0,0.47752808988764045
XJ 1861 Naxos Xerjoff (unisex) ~ 2015,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,58,44,2015,73,102,14,0.15094339622641512,0.5686274509803921,73.0,473.0,0.5275590551181102
Eros Versace (male) ~ 2012,https://www.fragrantica.com/perfume/Versace/Eros-16657.html,73,74,2012,74,147,-1,0.1105121293800539,0.4965986394557823,74.0,472.0,0.47674418604651164
Organza Givenchy (female) ~ 1996,https://www.fragrantica.com/perfume/Givenchy/Organza-4.html,65,59,1996,75,124,6,0.1293800539083558,0.5241935483870968,75.0,471.0,0.4966442953020134
Vanilla Woods The 7 Virtues (unisex) ~ 2018,https://www.fragrantica.com/perfume/The-7-Virtues/Vanilla-Woods-52560.html,53,37,2018,76,90,16,0.15633423180592992,0.5888888888888889,76.0,470.0,0.5391304347826087
Whispers in the Library Maison Martin Margiela (unisex) ~ 2019,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Whispers-in-the-Library-53537.html,53,37,2019,77,90,16,0.15633423180592992,0.5888888888888889,77.0,469.0,0.5391304347826087
Ultra Male Jean Paul Gaultier (male) ~ 2015,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html,47,25,2015,78,72,22,0.1725067385444744,0.6527777777777778,78.0,468.0,0.5773195876288659
Sì Fiori Giorgio Armani (female) ~ 2019,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Fiori-53243.html,63,58,2019,79,121,5,0.1266846361185984,0.5206611570247934,79.0,467.0,0.4931506849315068
Fancy Jessica Simpson (female) ~ 2008,https://www.fragrantica.com/perfume/Jessica-Simpson/Fancy-4094.html,57,46,2008,80,103,11,0.14285714285714285,0.5533980582524272,80.0,466.0,0.515625
Vanille Mona di Orio (unisex) ~ 2011,https://www.fragrantica.com/perfume/Mona-di-Orio/Vanille-12958.html,43,21,2011,81,64,22,0.1725067385444744,0.671875,81.0,465.0,0.5842696629213483
Vanille Abricot Comptoir Sud Pacifique (female) ~ 1993,https://www.fragrantica.com/perfume/Comptoir-Sud-Pacifique/Vanille-Abricot-738.html,55,46,1993,82,101,9,0.13746630727762804,0.5445544554455446,82.0,464.0,0.5079365079365079
Vanille Outremer (female),https://www.fragrantica.com/perfume/Outremer/Vanille-16338.html,48,32,0,83,80,16,0.15633423180592992,0.6,83.0,463.0,0.5428571428571428
Black Bvlgari (unisex) ~ 1998,https://www.fragrantica.com/perfume/Bvlgari/Black-154.html,50,37,1998,84,87,13,0.14824797843665768,0.5747126436781609,84.0,462.0,0.5267857142857143
Vanille de Tahiti Perris Monte Carlo (unisex) ~ 2020,https://www.fragrantica.com/perfume/Perris-Monte-Carlo/Vanille-de-Tahiti-61811.html,50,38,2020,85,88,12,0.14555256064690028,0.5681818181818182,85.0,461.0,0.5221238938053098
Hypnôse Lancôme (female) ~ 2005,https://www.fragrantica.com/perfume/Lancome/Hypnose-170.html,50,39,2005,86,89,11,0.14285714285714285,0.5617977528089888,86.0,460.0,0.5175438596491229
The One Dolce&Gabbana (female) ~ 2006,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-698.html,59,58,2006,87,117,1,0.11590296495956874,0.5042735042735043,87.0,459.0,0.4788732394366197
Angel Mugler (female) ~ 1992,https://www.fragrantica.com/perfume/Mugler/Angel-704.html,98,138,1992,88,236,-40,0.005390835579514822,0.4152542372881356,88.0,458.0,0.4099616858237548
Oajan Parfums de Marly (unisex) ~ 2013,https://www.fragrantica.com/perfume/Parfums-de-Marly/Oajan-21548.html,56,54,2013,89,110,2,0.11859838274932614,0.509090909090909,89.0,457.0,0.48148148148148145
Nuit et Confidences Goutal (female) ~ 2017,https://www.fragrantica.com/perfume/Goutal/Nuit-et-Confidences-46239.html,46,36,2017,90,82,10,0.14016172506738545,0.5609756097560976,90.0,456.0,0.514018691588785
Vanille Absolu Montale (female) ~ 2008,https://www.fragrantica.com/perfume/Montale/Vanille-Absolu-4064.html,43,30,2008,91,73,13,0.14824797843665768,0.589041095890411,91.0,455.0,0.5306122448979592
Egoiste Chanel (male) ~ 1990,https://www.fragrantica.com/perfume/Chanel/Egoiste-613.html,54,53,1990,92,107,1,0.11590296495956874,0.5046728971962616,92.0,454.0,0.4772727272727273
Organza Indécence Givenchy (female) ~ 1999,https://www.fragrantica.com/perfume/Givenchy/Organza-Indecence-560.html,44,34,1999,93,78,10,0.14016172506738545,0.5641025641025641,93.0,453.0,0.5145631067961165
Roses Vanille Mancera (female) ~ 2011,https://www.fragrantica.com/perfume/Mancera/Roses-Vanille-15210.html,47,40,2011,94,87,7,0.1320754716981132,0.5402298850574713,94.0,452.0,0.5
Love & Crime Ex Idolo (unisex) ~ 2018,https://www.fragrantica.com/perfume/Ex-Idolo/Love-Crime-52069.html,40,27,2018,95,67,13,0.14824797843665768,0.5970149253731343,95.0,451.0,0.532608695652174
Lalique Le Parfum Lalique (female) ~ 2005,https://www.fragrantica.com/perfume/Lalique/Lalique-Le-Parfum-1840.html,41,29,2005,96,70,12,0.14555256064690028,0.5857142857142857,96.0,450.0,0.5263157894736842
Tocade Rochas (female) ~ 1994,https://www.fragrantica.com/perfume/Rochas/Tocade-1418.html,46,41,1994,97,87,5,0.1266846361185984,0.5287356321839081,97.0,449.0,0.49107142857142855
