,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
79,Awake Akro 2018,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.664,0.887,0.997,0.796
80,Awake Akro 2018,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.613,0.937,0.939,0.797
81,Awake Akro 2018,Acqua di Giò Parfum Giorgio Armani 2023,0.327,0.894,0.706,0.796
82,Awake Akro 2018,Althaïr Parfums de Marly 2023,0.841,0.912,0.968,0.967
83,Awake Akro 2018,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.6,0.975,0.998,0.968
84,Awake Akro 2018,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.47,0.936,0.765,0.908
85,Awake Akro 2018,Angels' Share Kilian 2020,0.889,0.844,0.96,1.0
86,Awake Akro 2018,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.26,0.851,0.594,0.834
87,Awake Akro 2018,Armani Code Absolu pour Homme Giorgio Armani 2019,0.758,0.906,0.996,0.827
88,Awake Akro 2018,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.696,0.961,0.995,0.84
89,Awake Akro 2018,Artisan Pure John Varvatos 2017,0.248,0.831,0.404,0.881
90,Awake Akro 2018,Aventus Creed 2010,0.326,0.953,0.795,0.795
91,Bad Boy Cobalt Carolina Herrera 2022,1 Million Elixir Paco Rabanne 2022,0.784,0.763,0.791,0.997
92,Bad Boy Cobalt Carolina Herrera 2022,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.712,0.788,0.827,0.998
93,Bad Boy Cobalt Carolina Herrera 2022,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.768,0.849,0.943,0.973
94,Bad Boy Cobalt Carolina Herrera 2022,Acqua di Giò Parfum Giorgio Armani 2023,0.484,0.966,0.985,0.922
95,Bad Boy Cobalt Carolina Herrera 2022,Althaïr Parfums de Marly 2023,0.455,0.814,0.637,0.912
96,Bad Boy Cobalt Carolina Herrera 2022,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.41,0.896,0.824,0.634
97,Bad Boy Cobalt Carolina Herrera 2022,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.718,0.974,0.996,0.962
98,Bad Boy Cobalt Carolina Herrera 2022,Angels' Share Kilian 2020,0.472,0.73,0.614,0.776
99,Bad Boy Cobalt Carolina Herrera 2022,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.588,0.966,0.944,0.968
