,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
2537,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Myslf Yves Saint Laurent 2023,0.523,0.778,0.867,0.96
2538,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Neroli Portofino Tom Ford 2007 EAU DE PARFUM,0.111,0.658,0.513,0.842
2539,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Oliver Strangers Parfumerie 2018,0.323,0.641,0.662,0.888
2540,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Oud for Greatness Initio 2018,0.885,0.985,0.977,0.952
2541,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Pardon Nasomatto 2011 EXTRAIT DE PARFUM,0.777,0.993,0.983,0.936
2542,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Percival Parfums de Marly 2018,0.474,0.691,0.781,0.995
2543,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Polo Deep Blue Ralph Lauren 2020,0.301,0.504,0.572,1.0
2544,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Polo Red Parfum Ralph Lauren 2023,0.786,0.823,0.962,0.985
2545,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Reflection Man Amouage 2007,0.571,0.917,0.885,0.986
2546,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Royal Oud Creed 2011,0.745,0.958,0.995,0.938
2547,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Salted Green Mango Strangers Parfumerie 2019,0.324,0.732,0.592,0.887
2548,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Santal Eau de Santal Floris 2002 EAU DE TOILETTE,0.835,0.855,0.986,0.94
2549,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Sapphire Collection - London Widian / AJ Arabia 2018,0.67,0.993,0.998,0.914
2550,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Sartorial Penhaligon's 2010,0.672,0.885,0.988,0.922
2551,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Signature Zaharoff 2018 EAU DE PARFUM,0.731,0.912,0.984,0.949
2552,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Targhee Forest Rogue 2023,0.588,0.748,0.927,0.811
2553,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Terre d'Hermès Eau Givrée Hermès 2022,0.363,0.629,0.647,0.977
2554,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,Terre d'Hermès Hermès 2006 EAU DE TOILETTE,0.506,0.832,0.922,0.96
2555,The One for Men Dolce & Gabbana 2015 EAU DE PARFUM,The Most Wanted Azzaro 2021,0.785,0.984,0.987,0.974
2556,Toy Boy Moschino 2019,1 Million Elixir Paco Rabanne 2022,0.721,0.92,0.94,0.952
2557,Toy Boy Moschino 2019,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.62,0.937,0.948,0.939
2558,Toy Boy Moschino 2019,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.641,0.97,0.999,0.931
2559,Toy Boy Moschino 2019,Acqua di Giò Parfum Giorgio Armani 2023,0.398,0.869,0.881,0.903
2560,Toy Boy Moschino 2019,Althaïr Parfums de Marly 2023,0.395,0.954,0.833,0.997
2561,Toy Boy Moschino 2019,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.583,0.985,0.957,0.864
2562,Toy Boy Moschino 2019,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.73,0.919,0.923,0.988
2563,Toy Boy Moschino 2019,Angels' Share Kilian 2020,0.464,0.895,0.814,0.951
2564,Toy Boy Moschino 2019,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.414,0.819,0.8,0.949
2565,Toy Boy Moschino 2019,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.642,0.988,0.971,0.946
2566,Toy Boy Moschino 2019,Aventus Creed 2010,0.489,0.96,0.933,0.917
2567,Toy Boy Moschino 2019,Awake Akro 2018,0.489,0.983,0.944,0.955
2568,Toy Boy Moschino 2019,Bad Boy Cobalt Carolina Herrera 2022,0.686,0.922,0.948,0.933
2569,Toy Boy Moschino 2019,Bentley for Men Absolute Bentley 2014,0.354,0.979,0.904,0.866
2570,Toy Boy Moschino 2019,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.357,0.786,0.758,0.967
2571,Toy Boy Moschino 2019,Bon Monsieur Rogue 2020,0.617,0.945,0.954,0.9
2572,Toy Boy Moschino 2019,Boss Bottled Elixir Hugo Boss 2023,0.424,0.967,0.879,0.885
2573,Toy Boy Moschino 2019,Boss Bottled Parfum Hugo Boss 2022,0.696,0.988,0.985,0.916
2574,Toy Boy Moschino 2019,Chrome Azzaro 1996 EAU DE TOILETTE,0.437,0.758,0.774,0.918
2575,Toy Boy Moschino 2019,Cigar Rum Strangers Parfumerie 2017,0.56,0.961,0.958,0.958
2576,Toy Boy Moschino 2019,Club Black Mercedes-Benz 2017,0.432,0.961,0.855,0.996
2577,Toy Boy Moschino 2019,Dark Akro 2018,0.458,0.96,0.905,0.945
2578,Toy Boy Moschino 2019,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.654,0.906,0.91,0.977
2579,Toy Boy Moschino 2019,Dior Homme Intense Dior 2011,0.47,0.924,0.912,0.961
2580,Toy Boy Moschino 2019,Dior Homme Parfum Dior 2014,0.437,0.909,0.901,0.935
2581,Toy Boy Moschino 2019,Eau Parfumée au Thé Blanc Bvlgari 2003,0.668,0.796,0.84,0.874
2582,Toy Boy Moschino 2019,Eau Parfumée au Thé Vert Bvlgari 1992,0.587,0.724,0.749,0.87
2583,Toy Boy Moschino 2019,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.498,0.91,0.818,0.96
2584,Toy Boy Moschino 2019,Eros Versace 2020 EAU DE PARFUM,0.561,0.977,0.983,0.895
2585,Toy Boy Moschino 2019,Explorer Montblanc 2019,0.511,0.877,0.931,0.921
2586,Toy Boy Moschino 2019,First Instinct Together Man Abercrombie & Fitch 2020,0.584,0.681,0.86,0.976
2587,Toy Boy Moschino 2019,Gentleman Givenchy Réserve Privée Givenchy 2022,0.471,0.934,0.872,0.886
2588,Toy Boy Moschino 2019,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.458,0.89,0.939,0.916
2589,Toy Boy Moschino 2019,Haltane Parfums de Marly 2021,0.534,0.955,0.933,0.886
2590,Toy Boy Moschino 2019,Hero Burberry 2022 EAU DE PARFUM,0.589,0.989,0.944,0.95
2591,Toy Boy Moschino 2019,Herod Parfums de Marly 2012,0.534,0.94,0.853,0.974
2592,Toy Boy Moschino 2019,Invictus Platinum Paco Rabanne 2022,0.61,0.927,0.916,0.913
2593,Toy Boy Moschino 2019,Invictus Victory Paco Rabanne 2021,0.649,0.977,0.968,0.908
2594,Toy Boy Moschino 2019,Jimmy Choo Man Aqua Jimmy Choo 2022,0.281,0.708,0.736,0.908
2595,Toy Boy Moschino 2019,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.564,0.837,0.8,0.967
2596,Toy Boy Moschino 2019,Layton Parfums de Marly 2016,0.642,0.984,0.975,0.958
2597,Toy Boy Moschino 2019,Le Mâle Elixir Jean Paul Gaultier 2023,0.402,0.931,0.905,0.977
2598,Toy Boy Moschino 2019,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,0.681,0.988,0.989,0.959
2599,Toy Boy Moschino 2019,Legend Montblanc 2011 EAU DE TOILETTE,0.733,0.888,0.944,0.921
2600,Toy Boy Moschino 2019,Legend Montblanc 2020 EAU DE PARFUM,0.737,0.865,0.961,0.92
2601,Toy Boy Moschino 2019,Les Royales Exclusives - Spice and Wood Creed 2010,0.583,0.969,0.988,0.941
2602,Toy Boy Moschino 2019,Light Blue pour Homme Dolce & Gabbana 2007 EAU DE TOILETTE,0.395,0.661,0.638,0.948
2603,Toy Boy Moschino 2019,Lost Cherry Tom Ford 2018 EAU DE PARFUM,0.487,0.966,0.978,0.887
2604,Toy Boy Moschino 2019,Luna Rossa Ocean Prada 2023 EAU DE PARFUM,0.61,0.955,0.976,0.937
2605,Toy Boy Moschino 2019,Millésime Impérial Creed 1994,0.382,0.902,0.82,0.982
2606,Toy Boy Moschino 2019,Mousse Illuminée Rogue 2018,0.594,0.963,0.982,0.936
2607,Toy Boy Moschino 2019,Musc Ravageur Editions de Parfums Frédéric Malle 2000,0.481,0.945,0.931,0.945
2608,Toy Boy Moschino 2019,Myslf Yves Saint Laurent 2023,0.815,0.912,0.949,0.968
2609,Toy Boy Moschino 2019,Neroli Portofino Tom Ford 2007 EAU DE PARFUM,0.476,0.829,0.675,0.978
2610,Toy Boy Moschino 2019,Oliver Strangers Parfumerie 2018,0.627,0.815,0.804,0.99
2611,Toy Boy Moschino 2019,Oud for Greatness Initio 2018,0.478,0.906,0.9,0.956
2612,Toy Boy Moschino 2019,Pardon Nasomatto 2011 EXTRAIT DE PARFUM,0.526,0.929,0.912,0.945
2613,Toy Boy Moschino 2019,Percival Parfums de Marly 2018,0.59,0.845,0.892,0.946
2614,Toy Boy Moschino 2019,Polo Deep Blue Ralph Lauren 2020,0.491,0.712,0.722,0.919
2615,Toy Boy Moschino 2019,Polo Red Parfum Ralph Lauren 2023,0.7,0.94,0.998,0.967
2616,Toy Boy Moschino 2019,Reflection Man Amouage 2007,0.785,0.98,0.963,0.964
2617,Toy Boy Moschino 2019,Royal Oud Creed 2011,0.539,0.976,0.991,0.908
2618,Toy Boy Moschino 2019,Salted Green Mango Strangers Parfumerie 2019,0.469,0.897,0.753,0.989
2619,Toy Boy Moschino 2019,Santal Eau de Santal Floris 2002 EAU DE TOILETTE,0.6,0.955,0.989,0.95
2620,Toy Boy Moschino 2019,Sapphire Collection - London Widian / AJ Arabia 2018,0.503,0.921,0.956,0.981
2621,Toy Boy Moschino 2019,Sartorial Penhaligon's 2010,0.615,0.958,0.995,0.901
2622,Toy Boy Moschino 2019,Signature Zaharoff 2018 EAU DE PARFUM,0.737,0.968,0.993,0.917
2623,Toy Boy Moschino 2019,Targhee Forest Rogue 2023,0.657,0.881,0.982,0.912
2624,Toy Boy Moschino 2019,Terre d'Hermès Eau Givrée Hermès 2022,0.442,0.81,0.785,0.945
