link,upvotes,downvotes,inverse_rank,order,name
https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,7000.0,3221.0,6395.0,7.0,Dior Homme Intense 2011 Dior (male) ~ 2011
https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,5737.0,3081.0,6381.0,21.0,Terre d'Hermès Hermès (male) ~ 2006
https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,5385.0,3429.0,6368.0,34.0,Aventus Creed (male) ~ 2010
https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html,4581.0,2773.0,6343.0,59.0,Fahrenheit Dior (male) ~ 1988
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html,4650.0,2320.0,6360.0,42.0,La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009
https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,5167.0,2802.0,6337.0,65.0,Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014
https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,2719.0,1774.0,6203.0,199.0,Acqua di Gio Giorgio Armani (male) ~ 1996
https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-231.html,2269.0,1169.0,6188.0,214.0,Eau Sauvage Dior (male) ~ 1966
https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,2991.0,1671.0,6292.0,110.0,Encre Noire Lalique (male) ~ 2006
https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,2727.0,1407.0,6201.0,201.0,Tobacco Vanille Tom Ford (unisex) ~ 2007
https://www.fragrantica.com/perfume/Creed/Green-Irish-Tweed-474.html,2492.0,1324.0,6259.0,143.0,Green Irish Tweed Creed (male) ~ 1985
https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-Eau-de-Parfum-31909.html,3452.0,1741.0,6313.0,89.0,The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015
https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-430.html,2692.0,1950.0,6211.0,191.0,Le Male Jean Paul Gaultier (male) ~ 1995
https://www.fragrantica.com/perfume/Dior/Dior-Homme-2005-230.html,1042.0,689.0,5753.0,649.0,Dior Homme 2005 Dior (male) ~ 2005
https://www.fragrantica.com/perfume/Chanel/Egoiste-613.html,1931.0,1084.0,6178.0,224.0,Egoiste Chanel (male) ~ 1990
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/M7-1031.html,1178.0,582.0,5927.0,475.0,M7 Yves Saint Laurent (male) ~ 2002
https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html,2978.0,2568.0,6201.0,201.0,Sauvage Dior (male) ~ 2015
https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-1826.html,3400.0,1517.0,6317.0,85.0,Oud Wood Tom Ford (unisex) ~ 2007
https://www.fragrantica.com/perfume/Guerlain/Vetiver-69.html,1722.0,879.0,6128.0,274.0,Vetiver Guerlain (male) ~ 2000
https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html,4551.0,2276.0,6353.0,49.0,Dior Homme Parfum Dior (male) ~ 2014
https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html,1809.0,990.0,6004.0,398.0,L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994
https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Eau-de-Toilette-16.html,1336.0,819.0,6002.0,400.0,Habit Rouge Eau de Toilette Guerlain (male) ~ 1965
https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-607.html,1527.0,965.0,6022.0,380.0,Allure Homme Sport Chanel (male) ~ 2004
https://www.fragrantica.com/perfume/Chanel/Antaeus-616.html,1482.0,870.0,6079.0,323.0,Antaeus Chanel (male) ~ 1981
https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-13857.html,1613.0,1051.0,6085.0,317.0,Spicebomb Viktor&Rolf (male) ~ 2012
https://www.fragrantica.com/perfume/Gucci/Gucci-pour-Homme-2003-691.html,927.0,476.0,5808.0,594.0,Gucci pour Homme (2003) Gucci (male) ~ 2003
https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Malt-6103.html,1179.0,628.0,5960.0,442.0,A*Men Pure Malt Mugler (male) ~ 2009
https://www.fragrantica.com/perfume/Tom-Ford/Tuscan-Leather-1849.html,1407.0,767.0,6067.0,335.0,Tuscan Leather Tom Ford (unisex) ~ 2007
https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Havane-11444.html,1806.0,944.0,6171.0,231.0,A*Men Pure Havane Mugler (male) ~ 2011
https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-2056.html,806.0,482.0,5560.0,842.0,The One for Men Dolce&Gabbana (male) ~ 2008
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Kouros-735.html,1310.0,1081.0,5906.0,496.0,Kouros Yves Saint Laurent (male) ~ 1981
https://www.fragrantica.com/perfume/Guerlain/L-Instant-de-Guerlain-pour-Homme-52.html,333.0,137.0,4142.0,1540.0,L'Instant de Guerlain pour Homme Guerlain (male) ~ 2004
https://www.fragrantica.com/perfume/Tom-Ford/Grey-Vetiver-6697.html,1062.0,556.0,5791.0,611.0,Grey Vetiver Tom Ford (male) ~ 2009
https://www.fragrantica.com/perfume/Mugler/A-Men-705.html,1200.0,872.0,5916.0,486.0,A*Men Mugler (male) ~ 1996
https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,4124.0,2117.0,6314.0,88.0,Acqua di Giò Profumo Giorgio Armani (male) ~ 2015
https://www.fragrantica.com/perfume/Dior/Dior-Homme-13015.html,1708.0,1005.0,6078.0,324.0,Dior Homme Dior (male) ~ 2011
https://www.fragrantica.com/perfume/Chanel/Egoiste-Platinum-614.html,1946.0,1070.0,6147.0,255.0,Egoiste Platinum Chanel (male) ~ 1993
https://www.fragrantica.com/perfume/Burberry/London-for-Men-804.html,1089.0,707.0,5915.0,487.0,London for Men Burberry (male) ~ 2006
https://www.fragrantica.com/perfume/Davidoff/Cool-Water-507.html,1773.0,1301.0,6043.0,359.0,Cool Water Davidoff (male) ~ 1988
https://www.fragrantica.com/perfume/Chanel/Pour-Monsieur-615.html,812.0,408.0,5677.0,725.0,Pour Monsieur Chanel (male) ~ 1955
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/L-Homme-734.html,899.0,534.0,5819.0,583.0,L'Homme Yves Saint Laurent (male) ~ 2006
https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-Parfum-14811.html,1036.0,594.0,5901.0,501.0,Eau Sauvage Parfum Dior (male) ~ 2012
https://www.fragrantica.com/perfume/Amouage/Jubilation-XXV-Man-2366.html,1007.0,447.0,5894.0,508.0,Jubilation XXV Man Amouage (male) ~ 2007
https://www.fragrantica.com/perfume/Aramis/Aramis-113.html,742.0,527.0,5571.0,831.0,Aramis Aramis (male) ~ 1966
https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html,2244.0,1063.0,6167.0,235.0,Noir Extreme Tom Ford (male) ~ 2015
https://www.fragrantica.com/perfume/Guerlain/L-Instant-de-Guerlain-pour-Homme-Eau-Extreme-11570.html,1021.0,470.0,5925.0,477.0,L'Instant de Guerlain pour Homme Eau Extreme Guerlain (male) ~ 2005
https://www.fragrantica.com/perfume/Gucci/Envy-for-Men-688.html,727.0,359.0,5698.0,704.0,Envy for Men Gucci (male) ~ 1998
https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Edition-Blanche-2653.html,319.0,146.0,3913.0,1313.0,Allure Homme Edition Blanche Chanel (male) ~ 2008
https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Man-In-Black-26358.html,1737.0,976.0,6115.0,287.0,Bvlgari Man In Black Bvlgari (male) ~ 2014
https://www.fragrantica.com/perfume/Cartier/Declaration-307.html,612.0,353.0,5324.0,1078.0,Declaration Cartier (male) ~ 1998
https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-412.html,943.0,600.0,5794.0,608.0,Armani Code Giorgio Armani (male) ~ 2004
https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-2318.html,1764.0,1110.0,6073.0,329.0,Versace Pour Homme Versace (male) ~ 2008
https://www.fragrantica.com/perfume/Givenchy/Pi-39.html,916.0,537.0,5595.0,807.0,Pi Givenchy (male) ~ 1998
