name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Ange ou Demon Givenchy (female) ~ 2006,https://www.fragrantica.com/perfume/Givenchy/Ange-ou-Demon-701.html,79,69,2006,63,148,10,0.13550135501355015,0.5337837837837838,63.0,428.0,0.5114942528735632
Prada Candy Prada (female) ~ 2011,https://www.fragrantica.com/perfume/Prada/Prada-Candy-12426.html,99,110,2011,64,209,-11,0.07859078590785909,0.47368421052631576,64.0,427.0,0.46382978723404256
Italica (2021) Xerjoff (unisex) ~ 2021,https://www.fragrantica.com/perfume/Xerjoff/Italica-2021-65383.html,67,47,2021,65,114,20,0.16260162601626016,0.5877192982456141,65.0,426.0,0.55
Intense Cafe Montale (unisex) ~ 2013,https://www.fragrantica.com/perfume/Montale/Intense-Cafe-18021.html,72,57,2013,66,129,15,0.14905149051490515,0.5581395348837209,66.0,425.0,0.5290322580645161
Hypnotic Poison Eau de Parfum Dior (female) ~ 2014,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-Eau-de-Parfum-23098.html,63,39,2014,67,102,24,0.17344173441734417,0.6176470588235294,67.0,424.0,0.5703125
Shalimar Eau de Toilette Guerlain (female) ~ 1925,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Eau-de-Toilette-33934.html,73,60,1925,68,133,13,0.14363143631436315,0.5488721804511278,68.0,423.0,0.5220125786163522
Girl of Now Elie Saab (female) ~ 2017,https://www.fragrantica.com/perfume/Elie-Saab/Girl-of-Now-45686.html,66,49,2017,69,115,17,0.15447154471544716,0.5739130434782609,69.0,422.0,0.5390070921985816
Valentino Uomo Intense Valentino (male) ~ 2016,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Intense-38254.html,70,58,2016,70,128,12,0.14092140921409213,0.546875,70.0,421.0,0.5194805194805194
Eau des Baux L'Occitane en Provence (male) ~ 2006,https://www.fragrantica.com/perfume/L-Occitane-en-Provence/Eau-des-Baux-2034.html,60,45,2006,71,105,15,0.14905149051490515,0.5714285714285714,71.0,420.0,0.5343511450381679
This is Her Zadig & Voltaire (female) ~ 2016,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Her-39358.html,76,77,2016,72,153,-1,0.10569105691056911,0.49673202614379086,72.0,419.0,0.48044692737430167
XJ 1861 Naxos Xerjoff (unisex) ~ 2015,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,58,44,2015,73,102,14,0.14634146341463417,0.5686274509803921,73.0,418.0,0.53125
Eros Versace (male) ~ 2012,https://www.fragrantica.com/perfume/Versace/Eros-16657.html,73,74,2012,74,147,-1,0.10569105691056911,0.4965986394557823,74.0,417.0,0.4797687861271676
Organza Givenchy (female) ~ 1996,https://www.fragrantica.com/perfume/Givenchy/Organza-4.html,65,59,1996,75,124,6,0.12466124661246614,0.5241935483870968,75.0,416.0,0.5
Vanilla Woods The 7 Virtues (unisex) ~ 2018,https://www.fragrantica.com/perfume/The-7-Virtues/Vanilla-Woods-52560.html,53,37,2018,76,90,16,0.15176151761517614,0.5888888888888889,76.0,415.0,0.5431034482758621
Whispers in the Library Maison Martin Margiela (unisex) ~ 2019,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Whispers-in-the-Library-53537.html,53,37,2019,77,90,16,0.15176151761517614,0.5888888888888889,77.0,414.0,0.5431034482758621
Ultra Male Jean Paul Gaultier (male) ~ 2015,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html,47,25,2015,78,72,22,0.16802168021680217,0.6527777777777778,78.0,413.0,0.5816326530612245
Sì Fiori Giorgio Armani (female) ~ 2019,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Fiori-53243.html,63,58,2019,79,121,5,0.12195121951219513,0.5206611570247934,79.0,412.0,0.4965986394557823
Fancy Jessica Simpson (female) ~ 2008,https://www.fragrantica.com/perfume/Jessica-Simpson/Fancy-4094.html,57,46,2008,80,103,11,0.13821138211382114,0.5533980582524272,80.0,411.0,0.5193798449612403
Vanille Mona di Orio (unisex) ~ 2011,https://www.fragrantica.com/perfume/Mona-di-Orio/Vanille-12958.html,43,21,2011,81,64,22,0.16802168021680217,0.671875,81.0,410.0,0.5888888888888889
Vanille Abricot Comptoir Sud Pacifique (female) ~ 1993,https://www.fragrantica.com/perfume/Comptoir-Sud-Pacifique/Vanille-Abricot-738.html,55,46,1993,82,101,9,0.13279132791327913,0.5445544554455446,82.0,409.0,0.5118110236220472
Vanille Outremer (female),https://www.fragrantica.com/perfume/Outremer/Vanille-16338.html,48,32,0,83,80,16,0.15176151761517614,0.6,83.0,408.0,0.5471698113207547
Black Bvlgari (unisex) ~ 1998,https://www.fragrantica.com/perfume/Bvlgari/Black-154.html,50,37,1998,84,87,13,0.14363143631436315,0.5747126436781609,84.0,407.0,0.5309734513274337
Vanille de Tahiti Perris Monte Carlo (unisex) ~ 2020,https://www.fragrantica.com/perfume/Perris-Monte-Carlo/Vanille-de-Tahiti-61811.html,50,38,2020,85,88,12,0.14092140921409213,0.5681818181818182,85.0,406.0,0.5263157894736842
Hypnôse Lancôme (female) ~ 2005,https://www.fragrantica.com/perfume/Lancome/Hypnose-170.html,50,39,2005,86,89,11,0.13821138211382114,0.5617977528089888,86.0,405.0,0.5217391304347826
The One Dolce&Gabbana (female) ~ 2006,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-698.html,59,58,2006,87,117,1,0.11111111111111112,0.5042735042735043,87.0,404.0,0.4825174825174825
Angel Mugler (female) ~ 1992,https://www.fragrantica.com/perfume/Mugler/Angel-704.html,98,138,1992,88,236,-40,0.0,0.4152542372881356,88.0,403.0,0.4122137404580153
Oajan Parfums de Marly (unisex) ~ 2013,https://www.fragrantica.com/perfume/Parfums-de-Marly/Oajan-21548.html,56,54,2013,89,110,2,0.11382113821138212,0.509090909090909,89.0,402.0,0.4852941176470588
Nuit et Confidences Goutal (female) ~ 2017,https://www.fragrantica.com/perfume/Goutal/Nuit-et-Confidences-46239.html,46,36,2017,90,82,10,0.13550135501355015,0.5609756097560976,90.0,401.0,0.5185185185185185
Vanille Absolu Montale (female) ~ 2008,https://www.fragrantica.com/perfume/Montale/Vanille-Absolu-4064.html,43,30,2008,91,73,13,0.14363143631436315,0.589041095890411,91.0,400.0,0.5353535353535354
Egoiste Chanel (male) ~ 1990,https://www.fragrantica.com/perfume/Chanel/Egoiste-613.html,54,53,1990,92,107,1,0.11111111111111112,0.5046728971962616,92.0,399.0,0.48120300751879697
Organza Indécence Givenchy (female) ~ 1999,https://www.fragrantica.com/perfume/Givenchy/Organza-Indecence-560.html,44,34,1999,93,78,10,0.13550135501355015,0.5641025641025641,93.0,398.0,0.5192307692307693
Roses Vanille Mancera (female) ~ 2011,https://www.fragrantica.com/perfume/Mancera/Roses-Vanille-15210.html,47,40,2011,94,87,7,0.12737127371273713,0.5402298850574713,94.0,397.0,0.504424778761062
Love & Crime Ex Idolo (unisex) ~ 2018,https://www.fragrantica.com/perfume/Ex-Idolo/Love-Crime-52069.html,40,27,2018,95,67,13,0.14363143631436315,0.5970149253731343,95.0,396.0,0.5376344086021505
Lalique Le Parfum Lalique (female) ~ 2005,https://www.fragrantica.com/perfume/Lalique/Lalique-Le-Parfum-1840.html,41,29,2005,96,70,12,0.14092140921409213,0.5857142857142857,96.0,395.0,0.53125
Tocade Rochas (female) ~ 1994,https://www.fragrantica.com/perfume/Rochas/Tocade-1418.html,46,41,1994,97,87,5,0.12195121951219513,0.5287356321839081,97.0,394.0,0.49557522123893805
Hypnotic Poison Eau Sensuelle Dior (female) ~ 2010,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-Eau-Sensuelle-9600.html,50,49,2010,98,99,1,0.11111111111111112,0.5050505050505051,98.0,393.0,0.48
Changing Constance Penhaligon's (female) ~ 2018,https://www.fragrantica.com/perfume/Penhaligon-s/Changing-Constance-50256.html,36,23,2018,99,59,13,0.14363143631436315,0.6101694915254238,99.0,392.0,0.5411764705882353
Libre Yves Saint Laurent (female) ~ 2019,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-56077.html,50,51,2019,100,101,-1,0.10569105691056911,0.49504950495049505,100.0,391.0,0.47244094488188976
Vanille West Indies Ligne St. Barth (female) ~ 2007,https://www.fragrantica.com/perfume/Ligne-St-Barth/Vanille-West-Indies-12777.html,37,27,2007,101,64,10,0.13550135501355015,0.578125,101.0,390.0,0.5222222222222223
Gaultier 2 Jean Paul Gaultier (unisex) ~ 2005,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Gaultier-2-433.html,42,38,2005,102,80,4,0.11924119241192413,0.525,102.0,389.0,0.49056603773584906
Armani Privé Bleu Turquoise Giorgio Armani (unisex) ~ 2018,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Bleu-Turquoise-48060.html,43,40,2018,103,83,3,0.11653116531165313,0.5180722891566265,103.0,388.0,0.48623853211009177
Fresh Cream Warm Cashmere Philosophy (unisex) ~ 2018,https://www.fragrantica.com/perfume/Philosophy/Fresh-Cream-Warm-Cashmere-49834.html,40,34,2018,104,74,6,0.12466124661246614,0.5405405405405406,104.0,387.0,0.5
Vanilla Fields Coty (female) ~ 1993,https://www.fragrantica.com/perfume/Coty/Vanilla-Fields-6029.html,38,31,1993,105,69,7,0.12737127371273713,0.5507246376811594,105.0,386.0,0.5052631578947369
Hanae Mori Hanae Mori (female) ~ 1996,https://www.fragrantica.com/perfume/Hanae-Mori/Hanae-Mori-1577.html,37,30,1996,106,67,7,0.12737127371273713,0.5522388059701493,106.0,385.0,0.5053763440860215
Pink Sugar Aquolina (female) ~ 2004,https://www.fragrantica.com/perfume/Aquolina/Pink-Sugar-975.html,61,78,2004,107,139,-17,0.06233062330623307,0.43884892086330934,107.0,384.0,0.4303030303030303
Bois Doré Van Cleef & Arpels (unisex) ~ 2017,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Bois-Dore-44864.html,32,20,2017,108,52,12,0.14092140921409213,0.6153846153846154,108.0,383.0,0.5384615384615384
Ylang in Gold M. Micallef (female) ~ 2012,https://www.fragrantica.com/perfume/M-Micallef/Ylang-in-Gold-14409.html,30,16,2012,109,46,14,0.14634146341463417,0.6521739130434783,109.0,382.0,0.5555555555555556
Vanille Noire Yves Rocher (female) ~ 2010,https://www.fragrantica.com/perfume/Yves-Rocher/Vanille-Noire-9894.html,39,35,2010,110,74,4,0.11924119241192413,0.527027027027027,110.0,381.0,0.49
Bentley for Men Intense Bentley (male) ~ 2013,https://www.fragrantica.com/perfume/Bentley/Bentley-for-Men-Intense-17666.html,40,39,2013,111,79,1,0.11111111111111112,0.5063291139240507,111.0,380.0,0.47619047619047616
This is Him Zadig & Voltaire (male) ~ 2016,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Him-39359.html,34,27,2016,112,61,7,0.12737127371273713,0.5573770491803278,112.0,379.0,0.5057471264367817
Habit Rouge Eau de Toilette Guerlain (male) ~ 1965,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Eau-de-Toilette-16.html,37,35,1965,113,72,2,0.11382113821138212,0.5138888888888888,113.0,378.0,0.47959183673469385
Tobacco Collection Rich Warm Addictive Zara (male) ~ 2016,https://www.fragrantica.com/perfume/Zara/Tobacco-Collection-Rich-Warm-Addictive-40449.html,40,42,2016,114,82,-2,0.10298102981029811,0.4878048780487805,114.0,377.0,0.46296296296296297
Viva la Juicy Gold Couture Juicy Couture (female) ~ 2014,https://www.fragrantica.com/perfume/Juicy-Couture/Viva-la-Juicy-Gold-Couture-25753.html,34,30,2014,115,64,4,0.11924119241192413,0.53125,115.0,376.0,0.4888888888888889
Le Lion Eau de Parfum Chanel (unisex) ~ 2020,https://www.fragrantica.com/perfume/Chanel/Le-Lion-Eau-de-Parfum-61036.html,40,43,2020,116,83,-3,0.1002710027100271,0.4819277108433735,116.0,375.0,0.45871559633027525
Rochas Man Rochas (male) ~ 1999,https://www.fragrantica.com/perfume/Rochas/Rochas-Man-1426.html,40,43,1999,117,83,-3,0.1002710027100271,0.4819277108433735,117.0,374.0,0.45871559633027525
Memoirs Of A Trespasser Imaginary Authors (unisex) ~ 2012,https://www.fragrantica.com/perfume/Imaginary-Authors/Memoirs-Of-A-Trespasser-16545.html,32,27,2012,118,59,5,0.12195121951219513,0.5423728813559322,118.0,373.0,0.49411764705882355
Kenzo Jungle L'Elephant Kenzo (female) ~ 1996,https://www.fragrantica.com/perfume/Kenzo/Kenzo-Jungle-L-Elephant-70.html,42,48,1996,119,90,-6,0.0921409214092141,0.4666666666666667,119.0,372.0,0.4482758620689655
