fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity,total_similarity
Aventus Creed 2010,Artisan Pure John Varvatos 2017,0.683,0.898,0.871,0.983,0.248
Awake Akro 2018,1 Million Elixir Paco Rabanne 2022,0.546,0.871,0.998,0.82,0.042
Awake Akro 2018,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.664,0.887,0.997,0.796,0.06
Awake Akro 2018,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.613,0.937,0.939,0.797,-0.141
Awake Akro 2018,Acqua di Giò Parfum Giorgio Armani 2023,0.327,0.894,0.706,0.796,-0.278
Awake Akro 2018,Althaïr Parfums de Marly 2023,0.842,0.913,0.969,0.967,0.612
Awake Akro 2018,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.6,0.975,0.998,0.968,0.373
Awake Akro 2018,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.472,0.937,0.766,0.909,-0.314
Awake Akro 2018,Angels' Share Kilian 2020,0.889,0.844,0.96,1.0,0.649
Awake Akro 2018,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.26,0.851,0.594,0.834,-0.403
Awake Akro 2018,Armani Code Absolu pour Homme Giorgio Armani 2019,0.758,0.906,0.996,0.827,0.217
Awake Akro 2018,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.696,0.961,0.995,0.84,0.047
Awake Akro 2018,Artisan Pure John Varvatos 2017,0.248,0.831,0.404,0.881,-0.276
Awake Akro 2018,Aventus Creed 2010,0.326,0.953,0.795,0.795,-0.504
Bad Boy Cobalt Carolina Herrera 2022,1 Million Elixir Paco Rabanne 2022,0.784,0.763,0.791,0.997,0.296
Bad Boy Cobalt Carolina Herrera 2022,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.712,0.788,0.827,0.998,0.184
Bad Boy Cobalt Carolina Herrera 2022,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.768,0.849,0.943,0.973,0.117
Bad Boy Cobalt Carolina Herrera 2022,Acqua di Giò Parfum Giorgio Armani 2023,0.484,0.966,0.985,0.922,0.054
Bad Boy Cobalt Carolina Herrera 2022,Althaïr Parfums de Marly 2023,0.455,0.815,0.638,0.913,-0.231
Bad Boy Cobalt Carolina Herrera 2022,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.41,0.896,0.824,0.634,-0.422
Bad Boy Cobalt Carolina Herrera 2022,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.718,0.974,0.996,0.962,0.168
Bad Boy Cobalt Carolina Herrera 2022,Angels' Share Kilian 2020,0.472,0.73,0.614,0.776,-0.378
Bad Boy Cobalt Carolina Herrera 2022,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.588,0.966,0.944,0.968,0.359
Bad Boy Cobalt Carolina Herrera 2022,Armani Code Absolu pour Homme Giorgio Armani 2019,0.661,0.807,0.756,0.981,-0.02
Bad Boy Cobalt Carolina Herrera 2022,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.728,0.897,0.855,0.954,-0.088
Bad Boy Cobalt Carolina Herrera 2022,Artisan Pure John Varvatos 2017,0.369,0.952,0.844,0.967,0.14
Bad Boy Cobalt Carolina Herrera 2022,Aventus Creed 2010,0.69,0.973,0.996,0.949,0.169
Bad Boy Cobalt Carolina Herrera 2022,Awake Akro 2018,0.422,0.94,0.806,0.784,-0.221
Bentley for Men Absolute Bentley 2014,1 Million Elixir Paco Rabanne 2022,0.241,0.961,0.994,0.803,-0.091
Bentley for Men Absolute Bentley 2014,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.385,0.971,0.987,0.797,-0.005
Bentley for Men Absolute Bentley 2014,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.295,0.992,0.899,0.881,-0.1
Bentley for Men Absolute Bentley 2014,Acqua di Giò Parfum Giorgio Armani 2023,0.181,0.811,0.63,0.958,-0.237
Bentley for Men Absolute Bentley 2014,Althaïr Parfums de Marly 2023,0.305,0.985,0.99,0.879,0.089
Bentley for Men Absolute Bentley 2014,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.467,0.997,0.988,0.67,0.176
Bentley for Men Absolute Bentley 2014,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.303,0.866,0.695,0.905,-0.505
Bentley for Men Absolute Bentley 2014,Angels' Share Kilian 2020,0.405,0.952,0.984,0.803,0.18
Bentley for Men Absolute Bentley 2014,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.191,0.742,0.509,0.928,-0.385
Bentley for Men Absolute Bentley 2014,Armani Code Absolu pour Homme Giorgio Armani 2019,0.359,0.984,0.999,0.896,0.074
Bentley for Men Absolute Bentley 2014,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.496,0.985,0.979,0.945,0.142
Bentley for Men Absolute Bentley 2014,Artisan Pure John Varvatos 2017,0.152,0.7,0.31,0.923,-0.413
Bentley for Men Absolute Bentley 2014,Aventus Creed 2010,0.451,0.928,0.728,0.946,0.173
Bentley for Men Absolute Bentley 2014,Awake Akro 2018,0.453,0.962,0.994,0.818,0.105
Bentley for Men Absolute Bentley 2014,Bad Boy Cobalt Carolina Herrera 2022,0.308,0.873,0.741,0.81,-0.364
Bergamote 22 Le Labo 2006 EAU DE PARFUM,1 Million Elixir Paco Rabanne 2022,0.138,0.522,0.509,0.851,-0.623
Bergamote 22 Le Labo 2006 EAU DE PARFUM,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.14,0.561,0.578,0.829,-0.635
Bergamote 22 Le Labo 2006 EAU DE PARFUM,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.426,0.658,0.748,0.83,-0.432
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Acqua di Giò Parfum Giorgio Armani 2023,0.683,0.982,0.967,0.796,0.351
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Althaïr Parfums de Marly 2023,0.092,0.605,0.319,0.971,-0.525
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.219,0.748,0.563,0.962,-0.17
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.663,0.96,0.949,0.926,0.406
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Angels' Share Kilian 2020,0.122,0.483,0.295,0.996,-0.505
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.7,0.993,0.997,0.852,0.512
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Armani Code Absolu pour Homme Giorgio Armani 2019,0.129,0.598,0.475,0.852,-0.745
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.432,0.764,0.607,0.856,-0.609
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Artisan Pure John Varvatos 2017,0.925,0.994,0.986,0.895,0.775
Bergamote 22 Le Labo 2006 EAU DE PARFUM,Aventus Creed 2010,0.761,0.904,0.935,0.807,0.209
