name,upvotes,downvotes,year,order
Dune Pour Homme Dior (male) ~ 1997,63,28,1997,136
Armani Code Absolu Giorgio Armani (male) ~ 2019,71,44,2019,137
Boss Bottled Intense Eau de Parfum Hugo Boss (male) ~ 2016,65,34,2016,138
XJ 1861 Naxos Xerjoff (unisex) ~ 2015,65,35,2015,139
Aqva Amara Bvlgari (male) ~ 2014,62,29,2014,140
The One for Men Dolce&Gabbana (male) ~ 2008,61,27,2008,141
Joop! Homme Joop! (male) ~ 1989,108,122,1989,142
Wanted by Night Azzaro (male) ~ 2018,73,52,2018,143
Jazz Yves Saint Laurent (male) ~ 1988,60,27,1988,144
Obsession for Men Calvin Klein (male) ~ 1986,80,68,1986,145
Individuel Montblanc (male) ~ 2003,79,66,2003,146
212 Men Carolina Herrera (male) ~ 1999,75,61,1999,147
L'Envol de Cartier Eau de Parfum Cartier (male) ~ 2016,69,50,2016,148
Red Tobacco Mancera (unisex) ~ 2017,63,38,2017,149
Voyage d'Hermes Hermès (unisex) ~ 2010,65,43,2010,150
Baccarat Rouge 540 Maison Francis Kurkdjian (unisex) ~ 2015,66,45,2015,151
Luna Rossa Carbon Prada (male) ~ 2017,55,23,2017,152
Armani Code Profumo Giorgio Armani (male) ~ 2016,61,35,2016,153
Kenzo pour Homme Kenzo (male) ~ 1991,67,50,1991,154
Boucheron Pour Homme Boucheron (male) ~ 1991,51,18,1991,155
Moustache Eau de Parfum Rochas (male) ~ 2018,56,29,2018,156
CK One Shock For Him Calvin Klein (male) ~ 2011,75,68,2011,157
Virgin Island Water Creed (unisex) ~ 2007,79,77,2007,158
Allure Homme Edition Blanche Chanel (male) ~ 2008,56,31,2008,159
Guerlain Homme Guerlain (male) ~ 2008,51,22,2008,160
4711 Original Eau de Cologne 4711 (unisex),70,61,0,161
Original Vetiver Creed (unisex) ~ 2004,63,47,2004,162
Terre D'Hermes Eau Intense Vetiver Hermès (male) ~ 2018,70,61,2018,163
Infusion d'Homme Prada (male) ~ 2008,56,37,2008,164
Guerlain Homme L'Eau Boisée Guerlain (male) ~ 2012,52,29,2012,165
Dark Rebel John Varvatos (male) ~ 2015,55,36,2015,166
Carlisle Parfums de Marly (unisex) ~ 2015,63,53,2015,167
Grey Flannel Geoffrey Beene (male) ~ 1975,66,60,1975,168
Pasha de Cartier Parfum Cartier (male) ~ 2020,49,27,2020,169
Eau Sauvage Extreme Dior (male) ~ 1984,51,31,1984,170
Sartorial Penhaligon's (male) ~ 2010,53,36,2010,171
Uomo Salvatore Ferragamo Salvatore Ferragamo (male) ~ 2016,64,58,2016,172
Terre d'Hermes Eau Tres Fraiche Hermès (male) ~ 2014,56,42,2014,173
Chrome Azzaro (male) ~ 1996,65,60,1996,174
Eternity For Men Calvin Klein (male) ~ 1990,62,55,1990,175
Mandarino di Amalfi Tom Ford (unisex) ~ 2014,54,40,2014,176
Les Exclusifs de Chanel Sycomore Chanel (unisex) ~ 2008,51,34,2008,177
L'Homme Ultime Yves Saint Laurent (male) ~ 2016,57,46,2016,178
This is Him Zadig & Voltaire (male) ~ 2016,51,34,2016,179
CH Men Carolina Herrera (male) ~ 2009,49,30,2009,180
Vintage John Varvatos (male) ~ 2006,48,29,2006,181
Eau des Baux L'Occitane en Provence (male) ~ 2006,52,38,2006,182
Bois d'Argent Dior (unisex) ~ 2004,53,41,2004,183
Lagerfeld Classic Karl Lagerfeld (male) ~ 1978,46,27,1978,184
Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian (unisex) ~ 2017,61,57,2017,185
Bvlgari Pour Homme Bvlgari (male) ~ 1996,42,19,1996,186
1881 Men Cerruti (male) ~ 1990,44,24,1990,187
L'Homme Idéal Extrême Guerlain (male) ~ 2020,46,28,2020,188
1 Million Privé Paco Rabanne (male) ~ 2016,72,82,2016,189
Pardon Nasomatto (male) ~ 2011,44,27,2011,190
Bel Ami Hermès (male) ~ 1986,41,22,1986,191
Silver Mountain Water Creed (unisex) ~ 1995,54,48,1995,192
Millésime Impérial Creed (unisex) ~ 1995,51,43,1995,193
Yves Saint Laurent Pour Homme Yves Saint Laurent (male) ~ 1971,37,15,1971,194
L'Instant de Guerlain pour Homme Guerlain (male) ~ 2004,35,11,2004,195
Cacharel pour L'Homme Cacharel (male) ~ 1981,43,28,1981,196
Bvlgari Extreme Bvlgari (male) ~ 1999,40,23,1999,197
